geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date
1821257,Amboyna Cay,Amboyna Cay,"Amboina Cay,An-po An-sha,An-po Sha-chou,Anbo Shazhoa,Caye Amboyne,Dao An Bang,Pulau Kecil Amboyna,Ðao An Bang",7.89184,112.92124,T,ISL,VN,,,,,,0,,-9999,,2023-09-25
10275691,Amiana Resort,Amiana Resort,,12.2952,109.23405,S,HTL,VN,,54,568,,,0,,4,Asia/Ho_Chi_Minh,2023-06-26
10246644,An An 1 Hotel,An An 1 Hotel,,10.76765,106.6945,S,HTL,VN,,20,760,,,0,,9,Asia/Ho_Chi_Minh,2023-06-26
10235305,An An 2 Hotel,An An 2 Hotel,,10.76809,106.69415,S,HTL,VN,,20,760,,,0,,14,Asia/Ho_Chi_Minh,2023-06-26
1594525,An Bá,An Ba,"An Ba,An Bá,Dong Xuan",14.98333,108.85,P,PPL,VN,,63,532,,,3333,,9,Asia/Ho_Chi_Minh,2024-11-13
1594524,An Bái,An Bai,,20.58333,106.56667,P,PPL,VN,,35,341,,,0,,-1,Asia/Bangkok,2023-06-26
1594520,An Bàn,An Ban,"An Ban,An Bàn,Dai An",15.9,108.33333,P,PPL,VN,,84,503,,,0,,4,Asia/Ho_Chi_Minh,2023-06-26
1594521,An Bằng,An Bang,"An Bang,An Bằng,Phuc Khuong",15.78333,108.01667,P,PPL,VN,,84,506,,,0,,27,Asia/Ho_Chi_Minh,2023-06-26
1594519,An Bảo,An Bao,"An Bao,An Bảo",14.28611,109.06265,P,PPL,VN,,46,545,,,0,,30,Asia/Ho_Chi_Minh,2023-06-26
1594518,An Biên,An Bien,"An Bien,An Biên",9.81532,105.06366,P,PPLA2,VN,,21,908,,,0,,4,Asia/Ho_Chi_Minh,2023-06-26
1594514,An Bình,An Binh,"An Binh,An Bình,An Dinh,Poste de An Binh",11.4,106.83333,P,PPL,VN,,76,695,,,0,,84,Asia/Ho_Chi_Minh,2023-06-26
10106459,An Binh 2,An Binh 2,,10.76657,106.64397,S,HTL,VN,,20,772,,,0,,4,Asia/Ho_Chi_Minh,2023-06-26
1594509,An Bình Thạnh,An Binh Thanh,"An Binh Thanh,An Bình Thạnh,Anh Do,Da,Xuan Dai",13.36667,109.25,P,PPL,VN,,61,,,,0,,-9999,Asia/Ho_Chi_Minh,2020-06-09
1594507,An Bình Trại,An Binh Trai,,15.18333,108.66667,P,PPL,VN,,63,527,,,0,,17,Asia/Ho_Chi_Minh,2023-06-26
1594501,An Bộ,An Bo,,21.03333,106.46667,P,PPL,VN,,79,292,,,0,,8,Asia/Bangkok,2023-06-26
1594500,An Cập,An Cap,"An Can,An Cap,An Cập",21.4,105.96667,P,PPL,VN,,71,223,,,0,,18,Asia/Bangkok,2023-06-26
1594499,An Cầu,An Cau,,20.65,106.21667,P,PPL,VN,,81,333,,,0,,6,Asia/Bangkok,2023-06-26
1594498,An Chang,An Chang,"An Chan,An Chang",21.51667,104.16667,P,PPL,VN,,32,120,,,0,,1741,Asia/Bangkok,2023-06-26
1594497,An Chánh,An Chanh,,13.91667,109.0,P,PPL,VN,,46,547,,,0,,18,Asia/Ho_Chi_Minh,2023-06-26
1594496,An Châu,An Chau,"An Chau,An Châu",21.33465,106.84934,P,PPLA2,VN,,71,220,,,0,,56,Asia/Bangkok,2025-06-24
1594493,An Chỉ,An Chi,,14.98333,108.83333,P,PPL,VN,,63,532,,,0,,12,Asia/Ho_Chi_Minh,2023-06-26
